date,team1,team2,winner,Year,Team,MatchPlayed,MatchWon,Matchlost,,
4/9/2011,Kochi Tuskers Kerala,Royal Challengers Bangalore,Royal Challengers Bangalore,2020,MID,16,11,5,,
4/10/2011,Delhi Daredevils,Mumbai Indians,Mumbai Indians,2020,PWS,0,0,0,,
4/10/2011,Pune Warriors,Kings XI Punjab,Pune Warriors,2020,RRS,14,6,8,,
4/11/2011,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,2020,RCB,15,7,8,,
4/12/2011,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,2020,SHD,16,8,8,,
4/12/2011,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,,,,,,,
4/13/2011,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,,,,,,,
4/13/2011,Pune Warriors,Kochi Tuskers Kerala,Pune Warriors,,,,,,,
4/14/2011,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,,,,,,,
4/15/2011,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,,,,,,,
4/15/2011,Mumbai Indians,Kochi Tuskers Kerala,Kochi Tuskers Kerala,,,,,,,
4/16/2011,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,,,,,,,
4/16/2011,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,,,,,,,
4/17/2011,Pune Warriors,Delhi Daredevils,Delhi Daredevils,,,,,,,
4/17/2011,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,,,,,,,
4/18/2011,Kochi Tuskers Kerala,Chennai Super Kings,Kochi Tuskers Kerala,,,,,,,
4/19/2011,Delhi Daredevils,Deccan Chargers,Deccan Chargers,,,,,,,
4/20/2011,Mumbai Indians,Pune Warriors,Mumbai Indians,,,,,,,
4/20/2011,Kolkata Knight Riders,Kochi Tuskers Kerala,Kochi Tuskers Kerala,,,,,,,
4/21/2011,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,,,,,,,
4/22/2011,Mumbai Indians,Chennai Super Kings,Mumbai Indians,,,,,,,
4/22/2011,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,,,,,,,
